s2orc_paper_id;mag_id;journal_id;journal_cc
119172187;2963485721;122441808;227633
53595417;2963563838;3035098766;796
34944152;2963569570;77188613;26071
17594638;2963593810;99746170;77533
119135267;2963599319;75938328;9791
88521618;2963615467;997959834;20690
119683428;2963625561;184147796;258602
15762169;2963646327;70478294;11400
119141769;2963679174;40116370;51613
816646;2963679354;134818455;256603
118976467;2963696565;2764760416;6063
18599136;2963727293;62401924;1101168
6922792;2963837336;196210972;72098
119596426;2963843502;151314372;7852
32430751;2963856015;177430994;129040
119153352;2963858625;122441808;227633
119276707;2963881966;158241587;516953
118796371;2963955012;100601982;605721
14639080;2963963665;5437875;70003
119665046;2963977477;184147796;258602
11704758;2963998718;207319443;33797
16555102;2964085117;2764848058;38478
118520283;2964118747;75897683;24605
119127728;2964160310;200871675;250100
85505534;2964172194;122441808;227633
17113343;2964188071;98390336;4368
13685669;2964191729;9093621;78994
119630929;2964200623;31195892;16841
109935739;2964334613;112041929;17486
119576646;2966415206;182850260;92466
119593550;2969470853;29890666;2728
119724105;2971626823;98419756;2045
173990972;2977791755;99517592;339942
119639270;2979487273;67718071;44093
119702976;2985334730;2764760990;7196
84842910;2991619956;61604500;440889
119614631;2997377197;2501765825;6314
2216379;2997617429;106296714;445707
119120923;2999550712;24251679;64020
202130422;3000538446;94052278;356094
119312217;3004078633;44870929;10205
91184241;3008642222;40116370;51613
210116692;3010472383;59604973;183195
148571782;3010894886;103671469;57875
204900931;3014692528;46662786;12404
119724779;3017097132;158842918;90907
8173387;2303314472;203348814;267682
119587476;2963179870;54953690;247562
2364435;2141216910;156003414;4729
199442574;2976911694;90573847;353163
119120353;2790798962;133490392;3199219
54881522;2906949149;1980519;6235692
186206930;3009062482;39612629;116787
14407461;1994358002;151579836;460311
10440082;2148608795;13812875;23683
119329655;2963489785;60030702;489275
199577413;2976597061;18902827;181741
50557165;1510097799;122441808;227633
55698551;2906648132;118668765;5099
55064165;2963377754;142457147;21561
14819949;427286788;2764846071;16403
119284398;2963078813;114104845;55322
11059738;2123568621;25707077;95991
53545011;2145759807;172180718;566709
16888447;2601669468;16116274;39974
18945366;1563885976;17421805;118219
23644814;2618072050;40006715;429539
2953919;2027816277;4805881;101383
16665989;2169505290;57552105;757346
119139228;2963425272;98390336;4368
6374310;2594037736;94052278;356094
67851318;2611632971;175325897;3106
119162262;2778983193;204851967;17781
33052049;2963482789;105014038;27049
119321965;2963541750;111381568;84503
119166764;2963190243;44620559;9248
119134043;2963087683;2736142517;378
2713904;2083498523;60030702;489275
119711964;2965594286;158241587;516953
40550124;1833042526;207178839;5016394
208158111;2277195237;25538012;371596
55948769;1991895940;1616830;22880
199405460;2991119219;142305363;303269
919535;2962864161;60030702;489275
119117964;2951609295;151579836;460311
17772781;2058824702;2764848058;38478
56102203;2168072079;207478012;7953
52945037;2896390128;115201632;127262
14011177;1528466706;103671469;57875
1464209;2096211361;5043877;14123
7652656;2114573054;207178839;5016394
119619729;2913024421;148709879;854018
15441378;1996080663;112041929;17486
46818267;2558018685;178776955;1245854
119731656;2963385596;104894821;191538
2347472;2620282772;138998826;19310
125178659;2976299024;2738314458;132
119142619;2795007933;200871675;250100
13927977;2405491674;11189987;11882
53128181;2964080751;24251679;64020
209515691;3005794562;39612629;116787
18298218;2015004135;127742747;437953
119594179;3004294979;24251679;64020
115155570;1955202834;137558709;48481
19082709;2035630188;61246407;53525
119314781;2110209201;62159105;2003701
119163756;2800126799;2737774819;5107
17102106;2125942399;487226;5624
54682226;2008309726;207178839;5016394
99435779;2415350864;163784168;11495
16940627;2963329151;62223294;141464
119706702;2542106789;68787384;48582
