s2orc_paper_id;mag_id;journal_id;journal_cc
54183094;1990113016;174105208;39288
152972487;2003578874;22523967;59969
158777456;2025832665;184147796;258602
154752743;2051064134;32361082;29324
21666303;2071852934;62201805;165057
53463013;2098678699;131852005;28749
8120932;2146931611;119950638;513560
8105844;2153166204;6711363;270041
16066606;2158367573;134668137;3562302
5372068;2169568098;8557221;110165
154199181;2174158406;2764593300;12219
55767112;2219698867;65528657;60017
37700937;2233813955;141184754;70181
202540607;1991272730;2764966266;104
17638278;2593884068;138240904;46488
43927217;2883711290;88935262;385314
158801565;2899360260;57667410;137784
85442241;2899630943;158705510;16309
159013281;2963601229;171842551;102718
55099306;2963999522;175700853;64830
5735687;2970164183;128136061;19542
85531859;3019642080;85739584;113350
53363383;2019468261;107181468;19650
195330052;1998030007;13481170;202545
154817091;2159700532;125569852;1018
158632498;1945213020;65840159;158603
53648791;1930687325;136612413;45178
153463067;1987475673;100658864;8483
112917372;2319070701;2764676598;12049
7073535;2026435519;6711363;270041
39893085;2151194820;122161766;39543
153286623;2787422897;78735424;167073
148058652;2030812382;199447588;270432
21639159;3009674438;202381698;5618654
3162117;2234391669;148503350;37856
16177865;2154967233;2058785;146083
152595420;2612454686;200334879;9850
27977340;2054666092;145200904;106337
13950212;2238108783;103321696;827561
52885653;2593097059;158241587;516953
51933303;2054207406;207178839;5016394
6116538;2761395286;106296714;445707
85558268;1504662635;106296714;445707
16048461;1903696962;2764490274;240
5400232;1975667699;170765028;14484
154199022;2004064117;201533460;147761
16387565;2012938829;85457386;366167
9883784;2053130478;95464858;1043622
55798147;2061100441;76633192;399624
53549179;2088079438;5043877;14123
4544548;2098551118;33323087;833987
49152;2105099715;85739584;113350
56026222;2106868289;177770778;53357
154672306;2117277452;201533460;147761
154338324;2118207368;7424199;110053
55663220;2128760755;179979277;156353
34689289;2141794277;202381698;5618654
12136344;2150005526;18284184;43193
123776354;2164740912;62201805;165057
35226471;2167762037;172526255;32006
59521571;2184129202;160393188;20868
155573821;2232534122;32361082;29324
154564532;2151624134;184446198;10549
12929305;2268945365;69338747;209074
73587552;2412866455;21029587;44503
157418492;2528044806;36178057;199236
55694358;2605386170;136211407;327798
31502868;2728592305;127742747;437953
53694203;2729554370;184147796;258602
134704846;2162775815;139338987;137474
3291744;2963564337;146764194;107763
55551411;2964319839;997959834;20690
54725983;3023462450;206007305;11800
6282748;2163701513;199447588;270432
41398099;25575256;180782769;6608
84176591;2475933981;62201805;165057
1116762;2150317707;156716048;9198
152386304;2052053104;63571384;83601
73548205;1839740704;175056054;530885
3036996;2041004034;9483105;302287
154101484;2005187898;129650269;11831
53143847;1583544774;34280410;44040
54937299;2097912000;160934207;196126
5096004;1527306769;165087003;69974
73600620;2078066422;163499366;36623
158973844;3013659382;195663288;2486617
16100749;2053266077;66006601;1174
125068263;1752240835;92565720;86450
55638555;1775899153;170502224;23485
134099463;1776257908;166792937;21551
12481026;1851716094;147692640;121192
53598951;1877878735;2898574612;6866
153613683;1989744375;6772833;7027
3486365;1997517742;181493553;33082
157984306;2058167294;200274427;8433
18027141;2074609532;88935262;385314
16393507;627038344;2764695430;270
