s2orc_paper_id;mag_id;year;author_num;citation_count;reference_count;topic_size;first_author_prod;first_author_h_index;last_author_index;last_author_prod;last_author_h_index;title_len
2404851;2153906495;2010;1;22;14;102874;60;10;1;60;10;8
17186610;2156202196;2008;3;54;21;39265;135;26;3;60;14;18
119332693;2157133478;2012;4;3;17;10015;28;7;4;14;4;8
115162020;2158089261;2014;4;19;20;6753;18;5;4;61;15;3
1699220;2162120028;2007;3;5;8;161871;78;13;3;2;1;6
119160792;2170844909;2014;2;0;5;5458;5;1;2;20;5;4
14203865;2171033546;2002;3;97;15;53091;41;10;3;95;32;7
1629130;2171337489;2009;2;69;31;25761;158;31;2;55;11;8
55214130;2173924634;2018;1;1;23;15799;21;3;1;21;3;5
11664044;2184297521;2016;3;6;35;45292;60;11;3;217;38;7
18037947;2212611348;2016;1;1;6;135193;2;1;1;2;1;10
119328559;2521458624;2018;1;2;11;5353;137;23;1;137;23;4
88520997;2525449401;2019;2;60;35;267654;189;48;2;110;26;7
13408669;2541920494;2018;6;1;34;36008;67;15;6;1226;179;9
49693521;2542240204;2018;3;6;20;129219;76;14;3;62;13;11
43940848;2583598081;2018;3;3;22;15566;43;11;3;14;3;12
84842216;2602701998;2016;2;0;0;252755;14;0;2;18;1;14
119665686;2605465523;2019;4;7;25;65431;67;22;4;145;19;7
126226254;2720628412;2019;4;1;12;8502;583;29;4;190;17;4
119404502;2753782233;2019;1;3;25;33339;29;6;1;29;6;9
56223713;2729043311;1991;2;0;0;92059;238;28;2;5;2;8
88523709;2804080355;2019;3;5;28;77256;14;3;3;53;11;8
119124071;2906583357;2019;1;0;0;15319;154;14;1;154;14;11
119152211;2954156896;2020;2;9;43;11637;62;12;2;51;10;14
119334262;2962677469;2015;3;12;0;215172;56;15;3;174;21;7
119265077;2962687287;2016;3;11;18;20126;240;31;3;27;6;10
119635033;2962690405;2017;2;11;37;135193;32;8;2;75;16;9
119579553;2962697491;2018;1;7;23;10777;33;10;1;33;10;6
44126868;2962714354;2016;1;15;19;499568;68;15;1;68;15;4
116971774;2962731744;2015;2;6;14;27675;99;12;2;26;6;7
119155175;2962755057;2019;4;4;4;825497;116;18;4;2;1;14
16874136;2962830972;2009;2;8;15;535;3;2;2;30;8;10
119322815;2962848433;2014;4;26;52;41214;13;5;4;220;54;7
119124069;2962872050;2016;2;0;6;554;71;11;2;22;5;11
36375489;2962875621;2016;2;38;0;42116;51;14;2;644;86;3
119633602;2962897101;2015;1;3;10;1441;10;3;1;10;3;10
119156579;2962898169;2015;2;1;17;69014;62;11;2;7;2;7
119155659;2962908338;2019;1;1;0;267423;2;1;1;2;1;6
50540482;2962929165;2014;2;10;14;142429;35;9;2;82;8;5
47673438;2962934058;2018;2;7;18;9057;4;2;2;119;23;5
9673496;2962957192;2018;2;5;0;6166;9;4;2;325;67;12
59503583;2962964020;2018;2;0;0;63525;74;17;2;95;13;15
62819043;2962980368;2019;1;16;73;22779;78;10;1;78;10;4
32328719;2962986186;2017;2;16;0;302799;136;37;2;311;69;7
54032492;2962998299;2019;4;7;28;23892;140;26;4;536;50;5
119604554;2962999448;2017;2;2;33;302799;21;4;2;133;24;15
119585493;2963020837;2017;3;2;25;42605;4;1;3;12;4;12
88516770;2963052241;2012;2;6;21;2352;97;15;2;135;19;9
54053239;2963053194;2017;1;5;5;6327;46;7;1;46;7;6
54590341;2963086124;2019;2;0;13;95378;48;14;2;55;10;11
16167074;2963090093;2013;2;1;28;273451;2;1;2;4;1;15
119142443;2963190809;2016;2;5;15;94345;136;18;2;62;15;13
119316622;2963247607;2011;2;9;5;5783;74;8;2;119;22;7
119144749;2963261524;2012;1;11;29;619;142;25;1;142;25;11
119639212;2963275817;2019;2;2;0;34572;64;8;2;279;20;15
119283477;2963296950;2013;1;91;0;5870;106;17;1;106;17;9
119139702;2963341420;2016;4;9;19;42123;46;10;4;31;12;9
119138373;2963381684;2016;1;3;9;26150;32;3;1;32;3;6
59414484;2963386086;2021;1;1;26;38049;10;4;1;10;4;13
119641486;2963409293;2018;3;0;1;165260;57;8;3;40;8;13
5290107;2963427501;2012;2;27;28;151049;253;39;2;269;44;11
827810;2963429841;2017;3;6;10;3646;520;43;3;402;25;8
88513469;2963576483;2016;2;3;19;77256;62;12;2;7;2;9
3777829;2963582268;2018;1;12;23;71521;87;13;1;87;13;7
772231;2963586358;2010;1;8;45;257552;105;22;1;105;22;8
119325358;2963592223;2017;1;13;19;20861;13;2;1;13;2;7
119128528;2963598719;2018;2;0;0;95378;89;9;2;114;11;6
119310255;2963603736;2016;2;17;35;112852;48;14;2;4;2;9
119268563;2963618390;2013;1;0;7;95378;9;3;1;9;3;3
119329835;2963664820;2019;3;0;31;192160;743;65;3;68;14;8
19163355;2963698320;2018;1;14;12;12228;59;10;1;59;10;8
119320209;2963746011;2018;2;23;28;704502;9;3;2;109;22;12
119640457;2963785805;2018;2;8;58;5722;13;4;2;93;24;12
119138231;2963794430;2014;1;2;9;411639;3;1;1;3;1;9
118758358;2963809252;2016;1;6;18;72235;2;2;1;2;2;16
473344;2963818658;2011;1;24;32;24713;109;20;1;109;20;5
119117120;2963825894;2019;4;2;18;267423;138;21;4;97;15;11
62879912;2963831300;2012;3;1;5;90711;19;4;3;75;14;10
119327176;2963858641;2018;1;3;0;15319;39;6;1;39;6;4
5461795;2963888846;2012;2;119;14;25761;86;23;2;101;14;9
4606861;2963898848;2018;3;10;0;102760;65;13;3;45;8;11
119316066;2963980262;2018;2;8;28;161871;658;104;2;52;16;5
119635127;2964047059;2015;1;48;0;129219;6;5;1;6;5;8
14106408;2964053606;2013;3;6;17;72453;88;11;3;66;9;8
119317262;2964056463;2020;2;4;33;8276;71;13;2;166;15;8
117854313;2964082434;2016;3;28;53;42472;158;30;3;28;11;11
12615536;2964086105;2015;2;14;13;16840;86;21;2;149;19;10
119125323;2964106885;2013;3;12;21;122086;110;20;3;6;3;6
3727101;2964113144;2019;2;1;0;103972;2;1;2;97;20;5
119125713;2964125035;2014;2;3;0;72453;95;15;2;49;12;9
45425802;2964183022;2018;2;2;24;304636;6;2;2;58;7;8
11063676;2964187831;2015;1;3;33;324938;17;6;1;17;6;13
119755167;2964194285;2019;4;1;18;426574;367;92;4;26;8;9
41014535;2964246378;2017;2;8;39;103972;15;5;2;160;28;4
119560701;2964249417;2018;1;1;25;55817;90;17;1;90;17;10
119635797;2964292054;2015;1;121;7;16584;82;24;1;82;24;7
53468501;2964307244;2017;2;0;15;35823;58;14;2;108;16;6
119691149;2964345368;2016;2;6;54;633776;28;8;2;207;29;18
58668985;2967623726;2020;9;15;60;4580;58;20;9;191;36;13
119725544;2974635933;2020;1;4;25;31952;163;22;1;163;22;10
56442172;2975458741;2020;3;0;17;26150;27;6;3;41;8;14
119309614;2980669827;2019;1;0;0;648;15;2;1;15;2;16
119151201;2980945834;2019;2;0;7;22892;264;28;2;57;6;10
203593812;2981718081;2019;2;0;0;21553;2;0;2;47;7;8
195218697;2981906516;2019;5;26;14;80259;97;13;5;612;54;10
52229485;2982611308;2014;2;0;0;98016;84;21;2;370;87;6
78089171;2990214537;2020;1;0;6;9910;4;1;1;4;1;14
54457342;2998575132;2020;3;2;35;42116;2;2;3;36;11;8
168167513;3003173879;2021;2;0;16;10925;15;4;2;5;1;9
119704840;3005482900;2020;1;0;0;4715;5;2;1;5;2;9
198147907;3008028524;2020;2;4;32;260971;5;1;2;165;24;9
119158661;3008406070;2020;2;0;14;71018;2;0;2;70;10;10
119579993;3008915415;2020;1;0;0;11082;2;0;1;2;0;9
119629784;3010675288;2020;2;2;20;102874;77;13;2;2;1;7
189762041;3012113345;2021;2;3;49;45474;2;1;2;12;3;14
119123406;3013011166;2018;1;3;0;34;90;8;1;90;8;5
135464360;3013178105;2020;3;4;26;47086;129;24;3;2;2;13
119323774;3013994553;2020;2;0;32;23502;7;1;2;3;1;9
19964076;2088072426;2002;3;3;11;984;68;14;3;19;10;5
119130574;3025179476;2020;2;0;0;704502;30;8;2;30;9;11
208202254;3026974308;2020;5;1;46;229982;2;1;5;29;11;24
1764990;345958763;2009;2;0;0;7007;144;17;2;53;13;9
17174132;2245457469;2016;2;1;0;18978;114;23;2;153;18;5
117702707;2017864944;2014;3;7;21;19403;108;16;3;70;18;11
1290461;1827651941;2016;3;27;36;14569;6;5;3;60;12;5
1036673;2146461364;2010;2;26;49;268854;1;1;2;304;37;10
119370896;2955917626;2019;1;3;66;58210;3;1;1;3;1;15
13918361;2585828798;2005;4;0;0;25101;69;13;4;20;6;9
119130286;2963908487;2019;3;4;14;72453;47;8;3;15;3;8
211069196;3007569701;2020;3;0;0;633776;212;12;3;17;3;8
56071264;2565626174;2017;9;17;86;23750;202;32;9;220;36;20
119293461;2964111491;2016;2;11;32;33307;3;2;2;1;1;13
119150395;2891133486;2019;2;6;11;36882;2;1;2;122;24;8
119632752;2963426788;2016;4;5;17;38049;11;3;4;3;3;6
201660132;2141597930;2003;2;17;2;99676;131;14;2;76;15;11
119179437;2963717806;2018;2;1;0;18330;24;6;2;5;1;8
119146232;2964960437;2020;3;0;32;25229;4;0;3;42;6;16
11595;2141530767;2012;41;156;139;199756;142;32;9;646;126;17
118298636;2963200861;2019;1;3;6;302799;48;7;1;48;7;18
119655276;2903700310;2020;4;1;29;3600;71;14;4;2;1;5
211532649;2133636932;2002;2;9;27;10702;336;26;2;444;34;6
62898036;2135425541;2015;2;20;14;14593;10;5;2;139;23;15
67804730;2036009176;2013;2;1;0;6614;2;1;2;157;19;11
31652994;2766694628;2017;11;11;50;422129;12;5;9;3;2;15
119115709;1936071150;2012;2;70;62;267423;111;34;2;130;32;9
67811744;2798676173;2019;5;6;27;596602;12;8;5;57;8;18
58951884;2988669607;2020;4;6;65;61934;1;1;4;337;73;16
119153334;2997860401;2019;3;0;12;14328;127;20;3;11;2;9
59392985;2796263010;2019;3;6;29;12156;83;25;3;130;21;14
51871659;2963682894;2018;2;3;27;65431;1;1;2;160;36;11
152282753;2616421354;2017;6;2;13;296717;58;7;6;222;13;21
119630251;2029654187;2007;2;86;29;31519;55;19;2;98;29;8
49323424;2085968751;2014;10;5;18;422129;14;5;9;42;14;13
126228748;2907705732;2020;6;76;50;67574;11;6;6;256;33;11
85547066;2099109820;2013;3;22;34;61243;135;22;3;241;56;10
115154793;2963014295;2011;1;0;8;302799;11;4;1;11;4;10
119594034;2964026457;2018;1;5;38;91691;11;2;1;11;2;10
1253961;2803876107;2018;4;16;35;3885;47;11;4;741;91;10
6475299;2551219942;2018;3;74;41;31952;14;5;3;97;22;6
